Site,Bat ID,Sex,Date,Season,Roost ID,Comments,Roost Type,Details,Structure,DBH (cm),decay stage,roost height (ft),tree height (ft),Densometer
N,F043N_2017,1,7/21/2017,Summer,F043-R1,"live pitch pine with several dead branches, covered in poison ivy, signal strength on north side of tree, but exact roost unknown",Tree,PINRIG,branch,30,1,NA,39.4,30
N,F083N_2017,1,7/22/2017,Summer,F083-R1,"unknown - possible cavity, split fallen limb has many potential roosts",Tree,PINRIG,cavity,34.6,3,NA,32.8,55
N,F043BN_2017,1,7/23/2017,Summer,F043B-R1,unknown - large split branch with possible crack,Tree,PINRIG,branch,40.3,1,NA,29.5,75
N,F043BN_2017,1,7/24/2017,Summer,F043B-R2,unknown,Tree,PINRIG,unk,41.2,1,NA,36.1,65
N,N02_17,1,10/27/2017,Fall,F103-R2,suspect cavity where limb is broken,Tree,PINRIG,branch,35.5,1,NA,10,NA
N,N02_18,1,10/21/2018,Fall,F17832-R1,bark,Tree,PINRIG,bark,128,4,7,18,NA
N,N10_18,2,11/2/2018,Fall,M17808-R1,bark,Tree,PINRIG,bark,56,3,5.55,20,NA
N,N11_18,2,11/2/2018,Fall,M17810-R1,bark,Tree,PINRIG,bark,60,4,8,17,NA
N,N08_18,2,11/2/2018,Fall,M17807-R1,cavity/unknown,Tree,PINRIG,cavity,96,2,7.5,25,NA
N,N12_18,1,11/2/2018,Fall,F17809-R1,bark/unknown,Tree,PINRIG,bark,98.5,4,8,18,NA
N,N08_19,1,10/25/2019,Fall,17764F_A,"Visual on bat under bark, pics taken",Tree,PINRIG,bark,24.8,4,5,10,NA
N,N11_19,1,10/26/2019,Fall,17791F_A,"fairly sure this is the correct tree, 2 others that are very close that are possible",Tree,PINRIG,bark,30.9,1,6.5,35,NA
N,N08_19,1,10/26/2019,Fall,17764F_B,"3 large PINRIG right next to each other, lots of signal bounce, unsure of exactly which one. All similarly sized. Measurements are from best guess",Tree,PINRIG,bark,46.5,1,NA,50,NA
N,N08_19,1,10/28/2019,Fall,17764F_C,near summer 2017 maternity roost tree,Tree,PINRIG,bark,27.5,4,8,13,NA
N,N08_19,1,10/30/2019,Fall,17764F_D,unsure exactly where bat is roosting,Tree,PINRIG,unk,32.3,1,NA,25,NA
N,N11_19,1,10/30/2019,Fall,17791F_B,"~20m from original roost. Snag, broken top, largely still covered in bark and toxrad",Tree,PINRIG,bark,35.8,4,NA,15,NA
N,N08_19,1,11/6/2019,Fall,17764F_E,no details,Tree,PINRIG,unk,NA,NA,NA,NA,NA
N,N15_19,1,11/7/2019,Fall,17966F_A,"broken top PINRIG, top is clear of bark",Tree,PINRIG,bark,25.6,4,8,10,NA
N,N15_19,1,11/8/2019,Fall,17966F_B,"very close to the original roost, signal very bouncy, seems high up in tree.",Tree,PINRIG,bark,42.5,1,NA,30,NA
N,N19_19,1,11/12/2019,Fall,17796F_A,very close to capture location,Tree,PINRIG,unk,38,3,NA,14,NA
N,N19_19,1,11/19/2019,Fall,17796F_B,"unsure of exact location in tree but strongest signal on SW side of tree where there is a large split from fallen brahch. Very large, live pitch pine.",Tree,PINRIG,crevice/crack,66.5,1,NA,40,NA
N,N01_20,2,10/20/2020,Fall,17795A,,Tree,PINRIG,bark,43,4,8,16,NA
N,N03_20,1,10/22/2020,Fall,17780A,presumed under bark,Tree,PINRIG,bark,50.5,1,NA,24,NA
N,N04_20,1,10/22/2020,Fall,17965A,"signal weak, likely broken antenna",Tree,PINRIG,unk,NA,NA,NA,NA,NA
N,N07_20,1,10/24/2020,Fall,17958A,,Tree,Red Maple,cavity,47,1,10,18,NA
N,N08_20,2,10/25/2020,Fall,17964A,,Tree,Red Maple,cavity,33,1,15,25,NA
N,N03_20,1,10/25/2020,Fall,17780B,signal seems strongest coming from high up ~20ft on NW side of tree - crack present,Tree,PINRIG,crevice/crack,41.5,1,20,28,NA
N,N08_20,2,10/27/2020,Fall,17964B,,Tree,Red Maple,cavity,84.8,1,NA,25,NA
N,N09_20,1,10/27/2020,Fall,17955A,"in swamp, cant get close",Tree,PINRIG,unk,NA,1,NA,NA,NA
N,N07_20,1,11/1/2020,Fall,17958B,,Tree,Tupelo,cavity,28.5,1,15,30,NA
